,0
JD,2459787
Date,7-26-2022
LST Range,15.796 -- 17.796 hours
X-Engine Status,Y Y Y Y Y Y Y Y 
Number of Files,372
Total Number of Antennas,147
 ,
OPERATIONAL STATUS SUMMARY,
Antenna A Priori Status Count,dish_maintenance: 3 RF_maintenance: 43 RF_ok: 11 digital_maintenance: 2 digital_ok: 85 not_connected: 3
Commanded Signal Source,antenna
Antennas in Commanded State,107 / 147 (72.8%)
Cross-Polarized Antennas,104
Total Number of Nodes,15
Nodes Registering 0s,N18
Nodes Not Correlating,"N10, N12"
  ,
NIGHTLY ANALYSIS SUMMARY,
Ant Metrics Done?,Y
Ant Metrics Flagged Antennas,81 / 147 (55.1%)
Auto Metrics Done?,Y
Auto Metrics Flagged Antennas,118 / 147 (80.3%)
Redcal Done?,N
Never Flagged Antennas,20 / 147 (13.6%)
A Priori Good Antennas Flagged,"69 / 85 total a priori good antennas: 5, 7, 9, 10, 16, 17, 19, 20, 21, 29, 30, 31, 37, 45, 50, 51, 53, 54, 55, 56, 57, 69, 72, 81, 83, 84, 88, 91, 92, 101, 103, 105, 107, 108, 109, 111, 117, 121, 122, 123, 128, 129, 135, 138, 140, 141, 142, 143, 145, 160, 161, 163, 164, 165, 167, 169, 170, 176, 177, 178, 179, 181, 184, 185, 186, 187, 189, 190, 191"
A Priori Bad Antennas Not Flagged,"4 / 62 total a priori bad antennas: 3, 98, 100, 116"
