,Ant,Node,A Priori Status,Auto Metrics Flags,Flag Fraction Before Redcal,Flagged By Redcal chi^2 Fraction,ee Shape Modified Z-Score,nn Shape Modified Z-Score,ee Power Modified Z-Score,nn Power Modified Z-Score,ee Temporal Variability Modified Z-Score,nn Temporal Variability Modified Z-Score,ee Temporal Discontinuties Modified Z-Score,nn Temporal Discontinuties Modified Z-Score,Median chi^2 Per Antenna (Jee),Median chi^2 Per Antenna (Jnn)
0,3,1,digital_ok,0.0,1.0,0.0,-0.4184547599321611,0.06320290496722393,0.14792849980054237,0.5836423989216739,-0.48711534353057406,-0.2615797117129647,-0.10357899546638678,-0.18881588888090745,0.0,0.0
1,4,1,RF_maintenance,0.0,1.0,0.0,-0.6200181841080362,-0.47107533886225567,-1.1086436966594233,0.018010302891080913,-1.0757215344934425,-0.7932023152301327,-0.3977785219898049,2.738849513319182,0.0,0.0
2,5,1,digital_ok,0.0,1.0,0.0,-0.49041669567585017,-1.4850531772836915,-0.2847738215214819,-0.3664311673224701,0.1705860439715991,-0.9032675619732365,1.5876370708647762,1.7249211080543572,0.0,0.0
3,15,1,digital_ok,0.0,1.0,0.0,-0.7172192003921591,0.7590792227253572,-0.0728643121064199,0.4387001514342256,0.07209971430257214,0.6494415461055951,-0.2055377081416384,-0.01675898487271812,0.0,0.0
4,16,1,digital_ok,1.0,1.0,0.0,18.660950085670972,-1.5091171389110634,11.492913928639355,-0.9396465556079245,22.814058658299846,-0.9375583673743179,16.039461860765925,1.609952448111111,0.0,0.0
5,17,1,digital_ok,0.0,1.0,0.0,0.13662090983528477,-0.05508587411042551,0.5580050023948651,-0.5228030725735832,0.6178452928446294,-0.7907972528347559,3.100664248914388,0.903593134485932,0.0,0.0
6,18,1,RF_maintenance,1.0,1.0,0.0,-0.3844569432479742,2.059493150102416,-1.0665988336749337,-0.7113955781288929,-0.5122626435535537,0.32740418401576504,-0.09765030844185403,13.511848598335053,0.0,0.0
7,27,1,RF_maintenance,1.0,1.0,0.0,20.30195149596253,28.6359164696728,84.3542050290001,89.27142853376418,21.123062309019954,27.385849860245358,2.847333319180031,11.641306023368992,0.0,0.0
8,28,1,RF_maintenance,1.0,1.0,0.0,13.981973312341328,1.049681527621558,5.896754830412482,0.4928028450173703,7.497305805611247,1.1207661456081517,39.78258875016995,9.17409217747493,0.0,0.0
9,29,1,digital_ok,0.0,1.0,0.0,-1.123521764982713,-1.6516213951787235,-0.6745435221417599,0.13641456416563585,-0.6398461287008721,-0.07672313465150707,-0.6345042150471238,-0.6590135160380102,0.0,0.0
10,30,1,RF_maintenance,1.0,1.0,0.0,6.63936581481303,8.756496785292113,10.723285439516184,12.45567470459354,9.450132337626929,11.005526139141889,1.3006201287760542,5.699639102593644,0.0,0.0
11,45,5,RF_maintenance,1.0,1.0,0.0,0.255539847753386,21.41940890166847,-0.7380581640013771,84.12384575040869,-1.173920036101635,20.41299083304147,-0.866710676852972,10.692406978284327,0.0,0.0
