,Ant,Node,A Priori Status,Auto Metrics Flags,Dead Fraction in Ant Metrics (Jee),Dead Fraction in Ant Metrics (Jnn),Crossed Fraction in Ant Metrics,Flag Fraction Before Redcal,Flagged By Redcal chi^2 Fraction,ee Shape Modified Z-Score,nn Shape Modified Z-Score,ee Power Modified Z-Score,nn Power Modified Z-Score,ee Temporal Variability Modified Z-Score,nn Temporal Variability Modified Z-Score,ee Temporal Discontinuties Modified Z-Score,nn Temporal Discontinuties Modified Z-Score,Average Dead Ant Metric (Jee),Average Dead Ant Metric (Jnn),Average Crossed Ant Metric,Median chi^2 Per Antenna (Jee),Median chi^2 Per Antenna (Jnn)
0,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_0_report.html"" target=""_blank"">0</a>",0,RF_maintenance,1.0,1.0,1.0,0.0,1.0,0.0,55.94977433063221,98.71026553198237,143.8393511776966,180.75989223898034,36.50132566906112,100.3156080370286,1217.0761895162032,3041.393087289752,0.018385398878018534,0.016311147913447854,0.001247742042672719,1.186914086341858,1.1790551841259003
1,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_1_report.html"" target=""_blank"">1</a>",0,RF_maintenance,1.0,1.0,1.0,0.0,1.0,0.0,122.52820892287764,90.51518475967947,189.97718164164928,179.36460892307525,89.41727417309401,90.73121869634947,2834.198772384956,3193.132192633005,0.01612936694103961,0.016229984397333832,0.0002753612962619583,1.1617563664913177,1.1656205356121063
2,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_2_report.html"" target=""_blank"">2</a>",0,RF_maintenance,1.0,1.0,1.0,0.0,1.0,0.0,38.30231996674846,90.72842628469245,123.21208837862764,146.3477037460554,41.924549774489954,52.36796893048223,1139.7593642116221,1351.647629127047,0.017270001330591957,0.01636905748638787,0.0005921410388479059,1.1451476216316223,1.1357857286930084
3,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_3_report.html"" target=""_blank"">3</a>",1,digital_ok,0.0,0.0,0.0,0.0,0.0,0.005376344086021506,2.447486810246643,0.5201489492745235,0.367979008795959,0.0897153521194439,0.18192844810329314,0.9138494713296385,-0.8086238670043979,0.1895429264020804,0.6251452357243239,0.6140053745755513,0.3616791219878672,1.5411314070224762,1.4394975900650024
4,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_4_report.html"" target=""_blank"">4</a>",1,RF_maintenance,1.0,0.0,0.0,0.0,1.0,0.0,0.2239621516097103,2.574128248792253,-1.0461619670299622,-0.7939709567643956,0.3014668274910078,0.42263724309117956,5.966740787787249,0.29178596459727174,0.6256628967714423,0.6175586250346791,0.35762240714864174,11.023685693740845,10.167351961135864
5,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_5_report.html"" target=""_blank"">5</a>",1,digital_ok,1.0,0.0,0.0,0.0,1.0,0.0,14.034532872490171,23.914559339895593,0.6604755803983606,1.7528603774763283,1.4667886308482252,4.869983881039402,0.9053262019359174,0.06901805057053918,0.6139401709730323,0.5827586916831611,0.33935145329199,10.650026082992554,9.652683734893799
6,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_7_report.html"" target=""_blank"">7</a>",2,dish_ok,0.0,0.0,0.0,0.0,1.0,0.0,0.01656322537011661,-0.6675512246295467,1.625133366958397,1.2456283500640102,0.01332285965107077,1.6900790448791332,1.4135439049207408,3.55451015891046,0.6225502060435931,0.6258049546676336,0.346141458987166,4.092487573623657,4.608221530914307
7,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_8_report.html"" target=""_blank"">8</a>",2,dish_ok,1.0,0.0,0.0,0.0,1.0,0.0,0.36805809323088845,1.5816195392526768,5.491256563960611,6.684240144140231,5.823955785940516,8.423728510504738,13.478763082184477,5.969289491534172,0.6215836790712096,0.6181288380475353,0.34740793989917135,3.7368293404579163,3.765003979206085
8,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_9_report.html"" target=""_blank"">9</a>",2,dish_ok,1.0,0.0,0.0,0.0,1.0,0.0,3.982411400723896,2.6128932998721615,6.510641297327808,1.1845234585967839,9.176940972578045,1.5975620395293404,4.200427784782271,-0.7603408599033762,0.6000039318169744,0.5964762365102475,0.3484394978045443,3.922328472137451,3.8629555106163025
9,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_10_report.html"" target=""_blank"">10</a>",2,dish_ok,1.0,0.0,0.0,0.0,1.0,0.0,3.2615491567627872,4.863218226367132,0.6534988215851202,11.503350739708265,2.0178658155458398,13.547875670610797,2.2630127727780787,4.125350108700237,0.5890833893592902,0.5830664868540858,0.3514425438384584,3.0520323514938354,2.9643144011497498
10,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_11_report.html"" target=""_blank"">11</a>",0,RF_maintenance,1.0,1.0,1.0,0.0,1.0,0.0,112.95272042914756,85.46312817685173,152.68650918050884,149.61482822076096,43.62665008684885,51.85914234839285,1267.0379540266908,1411.9258346910422,0.018794338473118392,0.016820267188301645,0.0013372826502421435,1.1190475821495056,1.1197539865970612
11,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_12_report.html"" target=""_blank"">12</a>",0,RF_maintenance,1.0,1.0,1.0,0.0,1.0,0.0,55.40720636495616,53.88785129642741,134.547181883242,127.60486784698978,43.51701759522705,40.52686469226713,1304.43564786243,974.1480209641919,0.018754653432771693,0.018182449020253417,0.0004965607687913235,1.093971461057663,1.096128761768341
12,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_13_report.html"" target=""_blank"">13</a>",0,RF_maintenance,1.0,1.0,1.0,0.0,1.0,0.0,89.64177418578454,80.441388566878,160.71044115262524,160.40368432616305,41.30288668687078,63.19836545851075,1446.5480707756715,1926.3504626407223,0.018380163456153058,0.016812879150118108,0.000835059719836512,1.1434271335601807,1.1401994228363037
13,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_14_report.html"" target=""_blank"">14</a>",0,RF_maintenance,1.0,1.0,1.0,0.0,1.0,0.0,,,inf,inf,,,,,,,,0.0,0.0
14,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_15_report.html"" target=""_blank"">15</a>",1,digital_ok,1.0,0.0,0.0,0.0,1.0,0.0,0.17448662226753886,1.94334060677424,5.515197882554334,5.423101403241337,6.861162614834162,8.633053406469147,3.941380024646261,7.648090972682015,0.636917178666323,0.6354814025878488,0.34686750158556295,11.628616333007812,11.56577205657959
15,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_16_report.html"" target=""_blank"">16</a>",1,digital_ok,0.0,0.0,0.0,0.0,0.0,0.0,-0.2941181472687825,-0.4454522072475789,-1.1028022666275683,-0.15012271085501522,-0.7303968963816055,-0.69773172506844,1.6372575419296613,1.5386339056996268,0.6467998340463802,0.6428572383670662,0.34632471693607725,1.4413270354270935,1.4289353489875793
16,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_17_report.html"" target=""_blank"">17</a>",1,digital_ok,1.0,0.0,0.0,0.0,1.0,0.0,-0.1787040195363474,1.1661133845029503,-0.9262905651838557,-0.08144859488556785,-0.0847642439831597,1.0567343532627103,3.7419113161572355,4.846169615139717,0.6348863613608009,0.6341978277340021,0.3304259896188306,8.040514945983887,9.140737533569336
17,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_18_report.html"" target=""_blank"">18</a>",1,RF_maintenance,1.0,0.0,0.20529443544030254,0.0,1.0,0.0,-0.0029115763955141058,7.861419310622708,-1.0290142637297657,2.826346911734617,-1.044767193338292,4.064247737926149,1.3981095567604047,35.84095536013459,0.6405105798780426,0.4615384552405397,0.39040954731338406,4.024508953094482,2.5680224299430847
