,Ant,Node,A Priori Status,Auto Metrics Flags,Dead Fraction in Ant Metrics (Jee),Dead Fraction in Ant Metrics (Jnn),Crossed Fraction in Ant Metrics,Flag Fraction Before Redcal,Flagged By Redcal chi^2 Fraction,ee Shape Modified Z-Score,nn Shape Modified Z-Score,ee Power Modified Z-Score,nn Power Modified Z-Score,ee Temporal Variability Modified Z-Score,nn Temporal Variability Modified Z-Score,ee Temporal Discontinuties Modified Z-Score,nn Temporal Discontinuties Modified Z-Score,Average Dead Ant Metric (Jee),Average Dead Ant Metric (Jnn),Average Crossed Ant Metric,Median chi^2 Per Antenna (Jee),Median chi^2 Per Antenna (Jnn)
0,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_3_report.html"" target=""_blank"">3</a>",N01,RF_maintenance,0.0,0.0,0.0,0.0,1.0,0.0,1.2200917221004717,-0.46025498714396224,0.6900470937796467,-0.8181093597667777,-0.37608967906251073,0.028409383222035383,-0.4721736792019141,0.6787274645900466,0.6615843078631303,0.658067445460079,0.4248152827958082,16.658538341522217,15.015383958816528
1,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_4_report.html"" target=""_blank"">4</a>",N01,RF_maintenance,0.0,0.0,0.0,0.0,1.0,0.0,0.15201475505409265,3.983801766339929,-0.7365906232462791,0.0025879011506942367,-0.3591320893048629,-0.34980767829616166,2.7878313504645607,0.050603360136797226,0.6747136759012453,0.6658976259773816,0.4196155634199119,25.21262502670288,23.725342750549316
2,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_5_report.html"" target=""_blank"">5</a>",N01,digital_ok,1.0,0.0,0.0,0.0,1.0,0.0,0.06962617172274889,1.5581194412202097,-0.7598625556708735,6.290653111864756,-1.148535809549726,5.103947688365591,0.19969899023406917,-1.5277812239025643,0.68184486676894,0.6753392761234074,0.4183245619710002,48.370144844055176,62.77844715118408
3,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_7_report.html"" target=""_blank"">7</a>",N02,digital_ok,1.0,0.0,0.0,0.0,1.0,0.0,6.419881252156776,5.775799833279918,12.248747869000878,13.072880962701706,15.252935860044715,14.857631825105708,-1.5280594927707216,11.624775479537622,0.6706601508438449,0.6656560082670686,0.40632068310387626,50.715088844299316,58.836806297302246
4,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_8_report.html"" target=""_blank"">8</a>",N02,RF_maintenance,1.0,0.0,0.0,0.0,1.0,0.0,17.022834229639795,18.638080385890422,24.88664843089999,26.780413969288695,37.106912990546235,38.01382819112894,2.570356837380079,-0.3300086891050346,0.6483028541861956,0.638107425075024,0.40183006182652287,33.49696588516235,34.42753553390503
5,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_9_report.html"" target=""_blank"">9</a>",N02,digital_ok,1.0,0.0,0.0,0.0,1.0,0.0,1.4176252687944986,6.203430672910092,1.0535635690541199,13.730630616449194,1.5635466530409623,16.21248097739054,0.07407520953685688,-1.245704396672761,0.649291101490055,0.6429790271604232,0.4062368253702279,21.077358722686768,23.746365070343018
6,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_10_report.html"" target=""_blank"">10</a>",N02,digital_ok,1.0,0.0,0.0,0.0,1.0,0.0,18.49854397607783,16.49591616818684,26.397984008518552,24.891830027504035,40.36422912299494,35.718152862774616,17.14743051661041,15.15401528107956,0.5991147134504494,0.5989367947666779,0.3952486375090205,13.24291443824768,12.498974561691284
7,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_15_report.html"" target=""_blank"">15</a>",N01,digital_ok,0.0,0.0,0.0,0.0,0.0,0.0,0.01727901266099872,1.5275458944592446,-0.5497016931314013,0.7718561976010233,-0.18398399742557076,0.1689204217580305,-0.5047379787329547,0.9232846606608016,0.695074566511785,0.6869494398323439,0.4204878249472822,26.893921375274658,20.689205646514893
8,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_16_report.html"" target=""_blank"">16</a>",N01,digital_ok,1.0,0.0,0.0,0.0,1.0,0.0,0.05943566124607282,-1.2686004259200294,0.2716194969888512,0.04058003476685477,-0.0663843783901141,0.3620821728212834,6.4345044127276605,12.884099940536679,0.6995284471629355,0.6953525803816383,0.41051911564051563,55.19801902770996,82.82159996032715
9,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_17_report.html"" target=""_blank"">17</a>",N01,digital_ok,0.0,0.0,0.0,0.0,0.0,0.0,0.2119129649595242,0.8205882193632732,-0.7370918177705718,0.08999978792276667,-0.030550400972963538,-0.24601732355730205,2.5793935381764608,3.7016503751904146,0.6976900445566968,0.6963920074261127,0.39911167099373673,9.67245101928711,8.185405015945435
10,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_18_report.html"" target=""_blank"">18</a>",N01,RF_maintenance,1.0,0.0,0.4166666666666667,0.0,1.0,0.0,3.9213399081517433,4.878704053254328,3.110275177371422,-0.22958658784234234,9.935689455603464,11.445145642686137,66.18819103599252,63.27975826814095,0.6731818170710088,0.515786885613214,0.4469204667290353,37.40086555480957,13.870713233947754
11,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_19_report.html"" target=""_blank"">19</a>",N02,digital_ok,1.0,0.0,0.0,0.0,1.0,0.0,18.272056541829883,15.973536371106697,26.10526315739032,24.145986487683935,39.70246334159042,36.343493010095095,1.287541433331839,1.0503145419396143,0.6550692980224283,0.6607823273047139,0.3927581712246523,10.726752042770386,10.979633569717407
12,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_20_report.html"" target=""_blank"">20</a>",N02,digital_ok,1.0,0.0,0.0,0.0,1.0,0.0,7.993106325991158,19.384436108011993,15.797595253523543,26.85012369098772,22.351450871656898,39.00808711809332,-1.2696525558172684,-0.4924575486249213,0.6558615187048915,0.6265349146997894,0.402915800895774,22.29414415359497,26.216957092285156
13,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_21_report.html"" target=""_blank"">21</a>",N02,digital_ok,1.0,0.0,0.0,0.0,1.0,0.0,-0.42334176243952054,-0.6570757890706597,-0.7031590341217139,1.6513784882143607,0.6495383460843058,0.0993193749967674,1.3462427886236639,19.04823693035499,0.6423833327114353,0.6322629365795337,0.3993773517302678,12.949311971664429,13.282187223434448
14,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_27_report.html"" target=""_blank"">27</a>",N01,RF_maintenance,1.0,1.0,1.0,0.0,1.0,0.0,26.3477960483411,28.908571369717528,69.82283610182927,69.55064582435095,52.85389052274542,52.13433021880492,10.527806524324106,7.613470291515018,0.04357156532932512,0.048789059194283425,0.0036669803540378457,1.2186848819255829,1.2391597628593445
15,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_28_report.html"" target=""_blank"">28</a>",N01,RF_maintenance,1.0,0.375,0.875,0.0,1.0,0.0,13.514708578003118,18.794021283526696,8.462649624458663,10.135592404762239,47.77564295823776,54.74478503670775,12.500774050469982,57.781391194542735,0.49641622461962087,0.2832337813721207,0.29997515703303995,88.50907135009766,12.586118221282959
