,Ant,Node,A Priori Status,Dead Fraction in Ant Metrics (Jee),Dead Fraction in Ant Metrics (Jnn),Crossed Fraction in Ant Metrics,Average Dead Ant Metric (Jee),Average Dead Ant Metric (Jnn),Average Crossed Ant Metric
0,0,0,RF_maintenance,1.0,1.0,0.0,0.0183205965194379,0.015973339253917505,0.0025402305342360067
1,1,0,RF_maintenance,1.0,1.0,0.0,0.016345460228349852,0.016221163456004623,0.00043758886194732654
2,2,0,RF_maintenance,1.0,1.0,0.0,0.01678127531962773,0.016473987934942015,0.0006732042653671208
3,3,1,digital_ok,0.0,0.0,0.0,0.6896153204383375,0.6936155542530382,0.40465363737052173
4,4,1,RF_maintenance,0.0,0.0,0.0,0.6960921045740387,0.6912849734754282,0.3968593973877993
5,5,1,digital_ok,0.0,0.0,0.0,0.6998835654145922,0.6997422955607285,0.392601494969654
6,7,2,dish_ok,0.0,0.0,0.0,0.6837959162832385,0.6919125204148479,0.3920192761374565
7,8,2,dish_ok,1.0,0.0,0.0,0.07278625284269505,0.6823373248115707,0.5188109042796925
8,9,2,dish_ok,0.0,0.0,0.0,0.6659271801461732,0.6634026067820509,0.39032350614038985
9,10,2,dish_ok,0.0,0.0,0.0,0.656782551661168,0.6739798940650322,0.3961441278633418
10,14,0,RF_maintenance,1.0,1.0,0.0,0.018411734895570537,0.017084456469050827,0.0015207769212386025
11,15,1,digital_ok,0.0,0.0,0.0,0.6957270192149172,0.6958555428489116,0.38836093048486026
12,16,1,digital_ok,0.0,0.0,0.0,0.7048024661368708,0.7059831286234975,0.3881321671488843
13,17,1,digital_ok,0.0,0.0,0.0,0.6974398010768275,0.7059624472989362,0.38082427709059813
14,18,1,RF_maintenance,0.0,0.0,0.0,0.698787165935424,0.5364886042299366,0.4377829325411597
15,19,2,dish_ok,0.0,0.0,0.0,0.6811206589459545,0.7044593418915689,0.39369252778391156
16,20,2,dish_ok,0.0,0.0,0.0,0.688144939935103,0.6911555125481763,0.3941428473488928
17,21,2,dish_ok,0.0,0.0,0.0,0.6767828186970135,0.6722852221278891,0.40128248645996173
18,23,0,RF_maintenance,1.0,1.0,0.0,0.01821950207946994,0.016721744066489755,0.0016081253172689131
19,24,0,RF_maintenance,1.0,1.0,0.0,0.01666036283375166,0.016483062885916198,0.0007001500380777999
