,0
JD,2459784
Date,7-23-2022
LST Range,15.598 -- 17.598 hours
X-Engine Status,Y Y Y Y Y Y Y Y 
Number of Files,372
Total Number of Antennas,147
 ,
OPERATIONAL STATUS SUMMARY,
Antenna A Priori Status Count,dish_maintenance: 3 RF_maintenance: 43 RF_ok: 11 digital_maintenance: 2 digital_ok: 85 not_connected: 3
Commanded Signal Source,antenna
Antennas in Commanded State,110 / 147 (74.8%)
Cross-Polarized Antennas,104
Total Number of Nodes,15
Nodes Registering 0s,N18
Nodes Not Correlating,"N10, N12"
  ,
NIGHTLY ANALYSIS SUMMARY,
Ant Metrics Done?,Y
Ant Metrics Flagged Antennas,79 / 147 (53.7%)
Auto Metrics Done?,Y
Auto Metrics Flagged Antennas,112 / 147 (76.2%)
Redcal Done?,Y
Redcal Flagged Antennas,0 / 147 (0.0%)
Never Flagged Antennas,22 / 147 (15.0%)
A Priori Good Antennas Flagged,"68 / 85 total a priori good antennas: 5, 7, 9, 10, 16, 19, 21, 30, 40, 41, 42, 45, 50, 51, 53, 54, 55, 56, 57, 69, 72, 81, 83, 84, 88, 91, 92, 99, 101, 103, 105, 106, 107, 108, 109, 111, 117, 118, 121, 122, 123, 128, 129, 135, 138, 141, 142, 143, 144, 145, 160, 161, 162, 165, 167, 169, 170, 176, 177, 178, 179, 181, 183, 185, 187, 189, 190, 191"
A Priori Bad Antennas Not Flagged,"5 / 62 total a priori bad antennas: 3, 38, 67, 100, 116"
