,Ant,Node,A Priori Status,Auto Metrics Flags,Dead Fraction in Ant Metrics (Jee),Dead Fraction in Ant Metrics (Jnn),Crossed Fraction in Ant Metrics,Flag Fraction Before Redcal,Flagged By Redcal chi^2 Fraction,ee Shape Modified Z-Score,nn Shape Modified Z-Score,ee Power Modified Z-Score,nn Power Modified Z-Score,ee Temporal Variability Modified Z-Score,nn Temporal Variability Modified Z-Score,ee Temporal Discontinuties Modified Z-Score,nn Temporal Discontinuties Modified Z-Score,Average Dead Ant Metric (Jee),Average Dead Ant Metric (Jnn),Average Crossed Ant Metric,Median chi^2 Per Antenna (Jee),Median chi^2 Per Antenna (Jnn)
0,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_0_report.html"" target=""_blank"">0</a>",0,RF_maintenance,1.0,1.0,1.0,0.0,1.0,0.0,58.944256887158545,88.87841850805916,201.37577731075393,222.00078517497244,49.64342180590212,56.55963979846337,442.6879055747419,503.15725049043965,0.018242684146545906,0.016604221326019082,0.0014042150775026177,1.0203803479671478,1.0124900937080383
1,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_1_report.html"" target=""_blank"">1</a>",0,RF_maintenance,1.0,1.0,1.0,0.0,1.0,0.0,47.30213753193448,94.35797478380874,176.7289405686657,213.96964144356883,43.44804183147798,55.133300141509764,258.39606831603055,545.8600399211766,0.016874673606330753,0.016428872021578972,0.00045611991783118264,0.7909645289182663,0.783339649438858
2,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_2_report.html"" target=""_blank"">2</a>",0,RF_maintenance,1.0,1.0,1.0,0.0,1.0,0.0,43.075026402190275,64.96829035454779,175.71278364286002,168.6064534950265,33.25377209493118,32.50572478716639,272.01310786065994,206.54396856380947,0.016937531571720628,0.016834873445746024,0.00040339520660726046,1.0355297923088074,1.0382762253284454
3,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_3_report.html"" target=""_blank"">3</a>",1,digital_ok,1.0,1.0,1.0,0.0,1.0,0.0,,,inf,inf,,,,,,,,0.0,0.0
4,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_4_report.html"" target=""_blank"">4</a>",1,RF_maintenance,1.0,1.0,1.0,0.0,1.0,0.0,,,inf,inf,,,,,,,,0.0,0.0
5,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_5_report.html"" target=""_blank"">5</a>",1,digital_ok,1.0,1.0,1.0,0.0,1.0,0.0,,,inf,inf,,,,,,,,0.0,0.0
6,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_7_report.html"" target=""_blank"">7</a>",2,dish_ok,0.0,0.0,0.0,0.0,1.0,0.0,1.684399605642049,-0.17965107772330496,2.5600347883132284,1.8536523283780275,0.3963301986977042,1.372500791324245,0.2626991149847506,0.4196701732683078,0.6707342506426148,0.6662959119876853,0.30838726437336866,4.435649991035461,5.558558225631714
7,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_8_report.html"" target=""_blank"">8</a>",2,dish_ok,1.0,0.0,0.0,0.0,1.0,0.0,0.9088834470209947,1.5258317226759128,8.03751560720104,8.421871156807528,6.8780858699887775,8.992420166444793,4.4620001419909645,4.194841465760397,0.6753667375652062,0.661487251646998,0.3123572402081268,3.8373571038246155,4.44897735118866
8,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_9_report.html"" target=""_blank"">9</a>",2,dish_ok,1.0,0.0,0.0,0.0,1.0,0.0,4.696863071367523,2.9443186224847486,9.525135255570685,1.4555978852342417,8.737607393792215,1.052636215640113,5.4537414664954715,1.6935943454007698,0.6497924284332645,0.6356834801763913,0.316568372210724,3.827516794204712,3.9560152888298035
9,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_10_report.html"" target=""_blank"">10</a>",2,dish_ok,1.0,0.0,0.0,0.0,1.0,0.0,4.1461768375246,5.904838473513929,5.524228869715568,15.337373203809133,9.179684877583547,12.586157966115392,2.437305666512616,7.0179922962444845,0.6384572725413846,0.6249491984405956,0.319864041260956,2.550400137901306,2.545779585838318
