,0
JD,2459805
Date,8-13-2022
LST Range,16.977 -- 18.977 hours
X-Engine Status,Y Y Y Y Y Y Y Y 
Number of Files,372
Total Number of Antennas,147
 ,
OPERATIONAL STATUS SUMMARY,
Antenna A Priori Status Count,dish_maintenance: 3 RF_maintenance: 32 RF_ok: 11 digital_maintenance: 3 digital_ok: 95 not_connected: 3
Commanded Signal Source,
Antennas in Commanded State,0 / 147 (0.0%)
Cross-Polarized Antennas,
Total Number of Nodes,15
Nodes Registering 0s,N18
Nodes Not Correlating,"N09, N14, N19"
  ,
NIGHTLY ANALYSIS SUMMARY,
Ant Metrics Done?,Y
Ant Metrics Flagged Antennas,75 / 147 (51.0%)
Auto Metrics Done?,Y
Auto Metrics Flagged Antennas,96 / 147 (65.3%)
Redcal Done?,Y
Redcal Flagged Antennas,15 / 147 (10.2%)
Never Flagged Antennas,24 / 147 (16.3%)
A Priori Good Antennas Flagged,"74 / 95 total a priori good antennas: 5, 7, 9, 16, 17, 19, 21, 30, 41, 42, 45, 46, 54, 55, 56, 67, 68, 69, 71, 72, 73, 81, 83, 84, 85, 86, 88, 91, 93, 94, 101, 103, 105, 106, 107, 108, 109, 111, 112, 117, 118, 121, 122, 123, 127, 128, 129, 130, 140, 141, 142, 143, 144, 156, 157, 158, 160, 161, 163, 164, 165, 167, 169, 170, 176, 179, 181, 184, 185, 186, 187, 189, 190, 191"
A Priori Bad Antennas Not Flagged,"3 / 52 total a priori bad antennas: 52, 82, 135"
