,Ant,Node,A Priori Status,Auto Metrics Flags,Dead Fraction in Ant Metrics (Jee),Dead Fraction in Ant Metrics (Jnn),Crossed Fraction in Ant Metrics,ee Shape Modified Z-Score,nn Shape Modified Z-Score,ee Power Modified Z-Score,nn Power Modified Z-Score,ee Temporal Variability Modified Z-Score,nn Temporal Variability Modified Z-Score,ee Temporal Discontinuties Modified Z-Score,nn Temporal Discontinuties Modified Z-Score,Average Dead Ant Metric (Jee),Average Dead Ant Metric (Jnn),Average Crossed Ant Metric
0,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_0_report.html"" target=""_blank"">0</a>",0,RF_maintenance,1.0,1.0,1.0,0.0,17.571483592422375,15.988405857724258,27.87833476570247,26.833856327442838,7937.795817159825,7511.835475369421,14575.69339025337,13745.824083347512,,,
1,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_1_report.html"" target=""_blank"">1</a>",0,RF_maintenance,1.0,1.0,1.0,0.0,,,inf,inf,,,,,,,
2,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_2_report.html"" target=""_blank"">2</a>",0,RF_maintenance,1.0,1.0,1.0,0.0,,,inf,inf,,,,,,,
3,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_3_report.html"" target=""_blank"">3</a>",1,digital_ok,0.0,1.0,1.0,0.0,-0.4457663194661841,0.01365581061565411,-0.38335607523104814,-0.5085981083542416,-1.1044595552434162,-0.8249431506739492,-0.6642941030194656,-0.543077865999219,0.031958802625663765,0.030211899424714552,0.002097826523839491
4,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_4_report.html"" target=""_blank"">4</a>",1,digital_ok,0.0,1.0,1.0,0.0,-0.004773977685071285,0.3081883985373497,-0.44316503647929256,0.0028591978090936336,-0.8855744717937192,0.7306738870507689,0.3107286453696347,-0.4133255495402655,0.02977170248093754,0.032292566161481163,0.0015540317736209726
5,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_5_report.html"" target=""_blank"">5</a>",1,digital_ok,0.0,1.0,1.0,0.0,-0.0062411521691495804,-0.464151227009274,-0.33850211361296545,-0.32371810219887004,-0.828826776248687,-0.29008412036560477,-0.2753967273112921,-0.6946245482404471,0.03103959068207916,0.03280077326588083,0.0012305629101971845
6,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_7_report.html"" target=""_blank"">7</a>",2,digital_ok,1.0,1.0,1.0,0.0,1.837643734481748,1.2585696746537032,1.4415868193393933,0.9507757699212065,-0.4256321748532667,0.4032933065899184,0.1228235281398583,18.648560784067197,0.10669550769613256,0.1006566790772062,0.014994891661480802
7,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_8_report.html"" target=""_blank"">8</a>",2,RF_maintenance,1.0,0.0,0.0,0.0,17.330750377498617,17.45856609847261,28.198921914810562,28.981331476053857,46.62669097553315,34.90318325424971,14.116015988412219,8.322085486765257,0.6867653152973,0.5941472775569715,0.46539209477579585
8,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_9_report.html"" target=""_blank"">9</a>",2,digital_ok,0.0,1.0,1.0,0.0,-0.858128238370681,-1.051964519321866,-1.0613236106368236,-0.9671498073585083,1.3303616155460847,0.9639704368487877,-0.6242204374565244,-0.41917949361522105,0.09904463661164793,0.10243719318306306,0.004705551277410415
9,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_10_report.html"" target=""_blank"">10</a>",2,digital_ok,1.0,1.0,1.0,0.0,1.8137848369106946,0.6354226935283762,0.7534000925624567,0.11697849752548903,0.8897335234565928,1.6843347860734914,17.15651544721876,14.005373151784129,0.031559867002080084,0.03344257537597442,0.0024352534128997917
10,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_11_report.html"" target=""_blank"">11</a>",0,RF_maintenance,1.0,1.0,1.0,0.0,,,inf,inf,,,,,,,
11,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_12_report.html"" target=""_blank"">12</a>",0,RF_maintenance,1.0,1.0,1.0,0.0,,,inf,inf,,,,,,,
12,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_13_report.html"" target=""_blank"">13</a>",0,RF_maintenance,1.0,1.0,1.0,0.0,,,inf,inf,,,,,,,
13,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_14_report.html"" target=""_blank"">14</a>",0,RF_maintenance,1.0,1.0,1.0,0.0,,,inf,inf,,,,,,,
14,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_15_report.html"" target=""_blank"">15</a>",1,digital_ok,0.0,1.0,1.0,0.0,-0.9737640365914367,-0.2288418149755301,0.004388793572645352,0.4318628613552827,0.2563344606713881,0.6953271808304764,-0.17571253350227367,0.7950455843261979,0.03030941184864261,0.030024553634515602,0.0010653317915360343
15,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_16_report.html"" target=""_blank"">16</a>",1,digital_ok,0.0,1.0,1.0,0.0,-0.9098546873404179,-0.07754192877033268,-0.8433616250357591,-0.35395870867955487,0.009190893466353902,0.4699812257892004,-0.3172188437158291,-0.6743707575689687,0.030182668105142408,0.029874713313363468,0.0008588428529700913
16,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_17_report.html"" target=""_blank"">17</a>",1,digital_ok,0.0,1.0,1.0,0.0,0.8421624372429206,1.1398174033492932,2.8917275704706653,2.8991016925376663,3.277760453493955,1.3621936793143319,1.7615507113097308,1.748175553064459,0.030547358620132477,0.03009009840009735,0.0004303664864090501
17,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_18_report.html"" target=""_blank"">18</a>",1,digital_ok,1.0,1.0,1.0,0.0,2.483992462064141,1.5632745303266127,0.7936889009898669,13.064757671879356,88.86713525488356,29.875151021764967,462.7475118503796,16.082356285185607,0.03283929389254159,0.03752647194643184,0.0031945671247887992
18,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_19_report.html"" target=""_blank"">19</a>",2,digital_ok,1.0,1.0,1.0,0.0,1.074212776530017,2.853481327949647,-0.051638105986574756,3.4253842976397046,1.9343514638043422,36.739401711171325,42.30920324730748,1.6412916838611133,0.03405780969620036,0.03586296378927061,0.0016823694331550361
19,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_20_report.html"" target=""_blank"">20</a>",2,digital_ok,0.0,1.0,1.0,0.0,0.19539416187984116,-0.5025365431158249,0.7853371036093745,0.021799421646335873,-0.3638524968114918,0.39642669551982934,0.8153108309314347,-1.196505780546887,0.033636806131167936,0.03457373223263756,0.0014353469441364065
20,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_21_report.html"" target=""_blank"">21</a>",2,digital_ok,1.0,1.0,1.0,0.0,-0.6537521247124806,-0.8327540252095437,-1.0098090985449313,-0.6632979463998284,14.842389482149015,14.872281031433824,34.43217769567339,48.57729115276852,0.031564774141867855,0.030099270519230076,0.0011025568848667354
21,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_23_report.html"" target=""_blank"">23</a>",0,RF_maintenance,1.0,1.0,1.0,0.0,,,inf,inf,,,,,,,
22,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_24_report.html"" target=""_blank"">24</a>",0,RF_maintenance,1.0,1.0,1.0,0.0,,,inf,inf,,,,,,,
23,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_25_report.html"" target=""_blank"">25</a>",0,RF_maintenance,1.0,1.0,1.0,0.0,,,inf,inf,,,,,,,
24,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_26_report.html"" target=""_blank"">26</a>",0,RF_maintenance,1.0,1.0,1.0,0.0,,,inf,inf,,,,,,,
25,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_27_report.html"" target=""_blank"">27</a>",1,RF_maintenance,1.0,1.0,1.0,0.0,2.4677203362540534,2.8435446607733845,-0.48196692466750385,9.731899387455746,8.235663022757375,23.13422321299379,24.099385966966377,104.24082435894427,0.03251110068203732,0.03046115933290634,0.002692591009774829
