,0
JD,2459797
Date,8-5-2022
LST Range,16.451 -- 18.451 hours
X-Engine Status,Y Y Y Y Y Y Y Y 
Number of Files,372
Total Number of Antennas,147
 ,
OPERATIONAL STATUS SUMMARY,
Antenna A Priori Status Count,dish_maintenance: 3 RF_maintenance: 33 RF_ok: 11 digital_maintenance: 3 digital_ok: 94 not_connected: 3
Commanded Signal Source,antenna
Antennas in Commanded State,111 / 147 (75.5%)
Cross-Polarized Antennas,93
Total Number of Nodes,15
Nodes Registering 0s,N18
Nodes Not Correlating,"N08, N09"
  ,
NIGHTLY ANALYSIS SUMMARY,
Ant Metrics Done?,Y
Ant Metrics Flagged Antennas,66 / 147 (44.9%)
Auto Metrics Done?,Y
Auto Metrics Flagged Antennas,93 / 147 (63.3%)
Redcal Done?,Y
Redcal Flagged Antennas,7 / 147 (4.8%)
Never Flagged Antennas,39 / 147 (26.5%)
A Priori Good Antennas Flagged,"58 / 94 total a priori good antennas: 5, 7, 16, 19, 30, 31, 37, 41, 42, 45, 50, 51, 53, 54, 55, 56, 57, 69, 71, 72, 83, 84, 85, 86, 88, 91, 92, 93, 101, 103, 105, 106, 107, 108, 109, 111, 117, 121, 122, 123, 128, 129, 130, 140, 141, 142, 145, 156, 160, 161, 165, 167, 169, 170, 177, 181, 190, 191"
A Priori Bad Antennas Not Flagged,"3 / 53 total a priori bad antennas: 4, 82, 135"
