,Ant,Node,A Priori Status,Dead Fraction in Ant Metrics (Jee),Dead Fraction in Ant Metrics (Jnn),Crossed Fraction in Ant Metrics,Average Dead Ant Metric (Jee),Average Dead Ant Metric (Jnn),Average Crossed Ant Metric
0,0,0,RF_maintenance,1.0,1.0,0.0,0.01872446779928288,0.016420606948628087,0.0027069214266004756
1,1,0,RF_maintenance,1.0,1.0,0.0,0.01634042228264918,0.016290342901520635,0.00042028137171204005
2,2,0,RF_maintenance,1.0,1.0,0.0,0.016804432591808225,0.016329532248215126,0.0005743030038659466
3,3,1,digital_ok,0.08108108108108109,0.08108108108108109,0.0,0.513268544204543,0.5167290959435111,0.33266113443957795
4,4,1,RF_maintenance,0.02702702702702703,0.06486486486486487,0.0,0.521333098651372,0.5187307440470273,0.3219546275513757
5,5,1,digital_ok,0.016216216216216217,0.04864864864864865,0.0,0.5233022610251264,0.5244084094669802,0.3196055686694984
6,7,2,dish_ok,0.0,0.0,0.0,0.6658039573235174,0.6742774530043407,0.4045115961014999
7,8,2,dish_ok,1.0,0.0,0.0,0.051629160540193154,0.6616799909663442,0.49067020782646914
8,9,2,dish_ok,0.0,0.0,0.0,0.6483818571473279,0.6584569915507278,0.38858132038440496
9,10,2,dish_ok,0.0,0.0,0.0,0.6437041562242098,0.6455634380838262,0.3942670083170372
10,11,0,RF_maintenance,1.0,1.0,0.0,0.019673368181068848,0.016965828104942165,0.0016474161494505865
11,12,0,RF_maintenance,1.0,1.0,0.0,0.01928559619472675,0.017287284253485427,0.001266399133458205
12,13,0,RF_maintenance,1.0,1.0,0.0,0.018911659034288052,0.016818916338040828,0.00201676743831311
13,14,0,RF_maintenance,1.0,1.0,0.0,0.017852994042048667,0.017228157466522037,0.0005875826501646886
14,15,1,digital_ok,0.02702702702702703,0.06486486486486487,0.0,0.5242547842700293,0.5271556195092294,0.3215045268043118
15,16,1,digital_ok,0.016216216216216217,0.04864864864864865,0.0,0.5315902838873069,0.5310558680565018,0.3205349243345946
16,17,1,digital_ok,0.016216216216216217,0.02702702702702703,0.0,0.5231176695224836,0.5325808201035527,0.3187000809845488
17,18,1,RF_maintenance,0.0,0.7189189189189189,0.0,0.5332400411712952,0.3853989557384578,0.349280620385936
18,19,2,dish_ok,0.0,0.0,0.0,0.6601953627202174,0.6630530256267979,0.3902820300600646
19,20,2,dish_ok,0.0,0.0,0.0,0.6494441825356437,0.6768461104918918,0.39622783725038785
20,21,2,dish_ok,0.0,0.0,0.0,0.6295967833366712,0.6529963718638079,0.39277181490223034
21,23,0,RF_maintenance,1.0,1.0,0.0,0.018172316842166494,0.017134608430409648,0.0013779527105201507
