,0
JD,2459795
Date,8-3-2022
LST Range,16.322 -- 18.322 hours
X-Engine Status,Y Y Y Y Y Y Y Y 
Number of Files,372
Total Number of Antennas,147
 ,
OPERATIONAL STATUS SUMMARY,
Antenna A Priori Status Count,dish_maintenance: 3 RF_maintenance: 42 RF_ok: 11 digital_maintenance: 1 digital_ok: 87 not_connected: 3
Commanded Signal Source,antenna
Antennas in Commanded State,95 / 147 (64.6%)
Cross-Polarized Antennas,93
Total Number of Nodes,15
Nodes Registering 0s,N18
Nodes Not Correlating,"N04, N08, N09"
  ,
NIGHTLY ANALYSIS SUMMARY,
Ant Metrics Done?,Y
Ant Metrics Flagged Antennas,85 / 147 (57.8%)
Auto Metrics Done?,Y
Auto Metrics Flagged Antennas,110 / 147 (74.8%)
Redcal Done?,N
Never Flagged Antennas,28 / 147 (19.0%)
A Priori Good Antennas Flagged,"63 / 87 total a priori good antennas: 5, 7, 16, 17, 19, 30, 31, 37, 40, 41, 42, 45, 51, 53, 54, 55, 56, 57, 66, 69, 71, 72, 83, 84, 88, 91, 92, 93, 99, 101, 103, 105, 106, 107, 108, 109, 111, 117, 121, 122, 123, 128, 129, 130, 138, 140, 141, 142, 145, 160, 161, 165, 167, 169, 170, 177, 179, 181, 185, 186, 187, 190, 191"
A Priori Bad Antennas Not Flagged,"4 / 60 total a priori bad antennas: 3, 100, 157, 158"
