,0
JD,2459806
Date,8-14-2022
LST Range,17.047 -- 3.068 hours
X-Engine Status,Y Y Y Y Y Y Y Y 
Number of Files,1862
Total Number of Antennas,129
 ,
OPERATIONAL STATUS SUMMARY,
Antenna A Priori Status Count,dish_maintenance: 3 RF_maintenance: 29 RF_ok: 5 digital_maintenance: 3 digital_ok: 86 not_connected: 3
Commanded Signal Source,
Antennas in Commanded State,0 / 129 (0.0%)
Cross-Polarized Antennas,
Total Number of Nodes,14
Nodes Registering 0s,
Nodes Not Correlating,"N09, N14, N19"
  ,
NIGHTLY ANALYSIS SUMMARY,
Ant Metrics Done?,Y
Ant Metrics Flagged Antennas,57 / 129 (44.2%)
Auto Metrics Done?,N
Redcal Done?,N
Never Flagged Antennas,72 / 129 (55.8%)
A Priori Good Antennas Flagged,"28 / 86 total a priori good antennas: 73, 88, 91, 93, 94, 105, 106, 107, 108, 109, 111, 129, 130, 140, 142, 143, 144, 160, 163, 164, 165, 169, 170, 181, 184, 185, 186, 187"
A Priori Bad Antennas Not Flagged,"14 / 43 total a priori bad antennas: 4, 8, 32, 36, 50, 52, 70, 82, 87, 102, 104, 119, 135, 136"
