,Ant,Node,A Priori Status,Auto Metrics Flags,Dead Fraction in Ant Metrics (Jee),Dead Fraction in Ant Metrics (Jnn),Crossed Fraction in Ant Metrics,Flag Fraction Before Redcal,Flagged By Redcal chi^2 Fraction,ee Shape Modified Z-Score,nn Shape Modified Z-Score,ee Power Modified Z-Score,nn Power Modified Z-Score,ee Temporal Variability Modified Z-Score,nn Temporal Variability Modified Z-Score,ee Temporal Discontinuties Modified Z-Score,nn Temporal Discontinuties Modified Z-Score,Average Dead Ant Metric (Jee),Average Dead Ant Metric (Jnn),Average Crossed Ant Metric,Median chi^2 Per Antenna (Jee),Median chi^2 Per Antenna (Jnn)
0,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_0_report.html"" target=""_blank"">0</a>",0,RF_maintenance,1.0,1.0,1.0,0.0,1.0,0.0,66.95630218021415,159.40321212293676,116.67814492195788,162.55367846283974,57.15996066650771,85.68753724256408,967.9038203823961,1859.3383235911551,0.01958356420799607,0.017886630857344838,0.0012211665225405816,0.0,0.0
1,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_1_report.html"" target=""_blank"">1</a>",0,RF_maintenance,1.0,1.0,1.0,0.0,1.0,0.0,193.8390943198333,109.72640334599929,170.11348424832755,122.89526218071414,104.87920623369158,65.52569428208605,1915.9435813231084,1112.0287133778013,0.017486365805298137,0.017942755475236962,-0.00016971344282698276,0.0,0.0
2,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_2_report.html"" target=""_blank"">2</a>",0,RF_maintenance,1.0,1.0,1.0,0.0,1.0,0.0,73.58010250326632,83.32736954018458,124.62669251686565,112.17978516207543,48.51702521066172,37.86728726542877,1034.3708835078753,664.5775105088007,0.018119762296228446,0.01833970860537306,0.0005234282074212417,0.0,0.0
3,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_3_report.html"" target=""_blank"">3</a>",1,digital_ok,1.0,1.0,1.0,0.0,1.0,0.0,,,inf,inf,,,,,,,,0.0,0.0
4,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_4_report.html"" target=""_blank"">4</a>",1,RF_maintenance,1.0,1.0,1.0,0.0,1.0,0.0,,,inf,inf,,,,,,,,0.0,0.0
5,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_5_report.html"" target=""_blank"">5</a>",1,digital_ok,1.0,1.0,1.0,0.0,1.0,0.0,,,inf,inf,,,,,,,,0.0,0.0
6,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_7_report.html"" target=""_blank"">7</a>",2,dish_ok,1.0,0.32972972972972975,0.32972972972972975,0.0,1.0,0.0,0.11344239753108874,-0.4109679753908336,1.70461222722793,1.7669825200770208,0.0024411789799325743,7.081204467072106,4.498068426226074,9.782924356686697,0.5007152609439676,0.4828993543980092,0.2731276526949747,0.0,0.0
7,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_8_report.html"" target=""_blank"">8</a>",2,dish_ok,1.0,0.32972972972972975,0.32972972972972975,0.0,1.0,0.0,0.3187385444549148,1.2830972479391058,6.573083145952347,5.8241405019309616,3.7965274694888342,5.376317117865571,3.239885105096235,2.915446226124496,0.50234428565435,0.4829736201898008,0.27096781630771016,0.0,0.0
8,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_9_report.html"" target=""_blank"">9</a>",2,dish_ok,1.0,0.32972972972972975,0.32972972972972975,0.0,1.0,0.0,4.771429581183507,2.8177395887713756,7.473044484731412,1.041970523949317,5.408221960407271,2.316415394130069,1.8121642209305957,-0.83297859311807,0.4931549357155991,0.47543332125667925,0.2685372746182547,0.0,0.0
9,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_10_report.html"" target=""_blank"">10</a>",2,dish_ok,1.0,0.32972972972972975,0.32972972972972975,0.0,1.0,0.0,5.3296776950750635,5.379490792593911,7.953257911970924,10.996556035138484,5.357900976888438,8.283042114687289,2.1873323619281457,3.124234015150109,0.48804583902615023,0.4721444689528492,0.2722301368815265,0.0,0.0
10,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H5C_Notebooks/blob/main/antenna_report/antenna_11_report.html"" target=""_blank"">11</a>",0,RF_maintenance,1.0,1.0,1.0,0.0,1.0,0.0,141.08393789340315,110.78464779432059,125.6981464891239,138.97457421516046,53.06651909228384,58.47044841393316,848.6998021162818,1134.5484288310265,0.020749007033329485,0.018110461901436524,0.003317016672488601,1.1894386410713196,1.149233877658844
