Ant,Node,Snap,Full nn,Full ee,50-85 MHz nn,50-85 MHz ee,120-155 MHz nn,120-155 MHz ee,155-190 MHz nn,155-190 MHz ee,190-225 MHz nn,190-225 MHz ee
0,0,0,148.33631631833023,105.74064189438845,319.1753137560963,285.1996742240442,8.922861844623691,55.341971086718715,2.5876889362768596,28.44757207848508,1.3691911355983277,2.387949864057495
1,0,0,125.3011841702095,149.12841839964207,295.1454138930723,387.17337832801536,2.575018213303584,3.59953700210625,1.2259064233999948,2.4798690219843955,1.3565469475227991,1.6151950357261802
2,0,0,150.53978274286277,144.4959382799376,396.8781879791885,393.92890695755364,3.5700395903964224,5.44070443729324,3.2267607414932815,9.603281312470884,2.299696370205417,3.025158745522103
3,1,2,1.0984029853457473,1.2202700411990282,1.5118850116985305,1.4835538886906425,2.594262184797119,2.3904182849634568,2.5775912790083693,3.144151029689109,4.028424930916479,7.3183939158833935
4,1,2,2.7334738406935566,1.2925650870847807,1.5712609255301444,1.7011564786780355,2.6024538800852905,2.476835185787006,1.7527939657773461,1.676680261156079,1.88076199254518,1.9022479791141025
5,1,2,0.9525422667802139,1.138072396326638,1.4996177090181502,1.6260598499027548,2.2532429859742096,2.4338591650050554,2.281772333316747,1.890915673477224,14.867737060181886,18.415303860529185
7,2,0,1.253654786823721,1.2525893742412253,2.2787064952183793,1.4543174279435978,2.744224671847631,3.436307885324614,2.0598284239993845,2.0104580947906996,2.5315371240125253,3.151535249896494
8,2,0,1.157714529189256,2.4347252482585144,1.593734569019605,9.635077530727635,1.9268992677089922,2.086438090830832,2.0441978129172287,2.7429621418819434,2.163390677535388,1.7951337506209617
9,2,0,1.4859957202957914,1.3397126841523632,1.5524581268598119,1.6300359246795033,2.2644692938830695,2.45776146546162,4.9038405814409725,2.969287509208015,7.079627569034162,4.036976997794436
10,2,1,,,,,,,,,,
11,0,1,113.90568575931474,428.5324884052012,226.33394310457757,309.61911308864023,25.217574073011683,316.08648995054915,102.8415752551069,1459.3173513599893,3.6897863152731203,183.78795680156844
12,0,1,394.1085065567589,265.217408347349,239.55130659781975,224.87824429567598,188.9619435533919,65.15171624929376,1051.4284405066098,1498.2414535537998,5.92594254713284,27.77842428481355
13,0,1,247.05456817774365,374.80328358567147,261.48461185505454,344.0521427937357,93.25380021246859,209.44984480148614,694.4391446815574,1615.1856261023518,18.926844385927044,59.009366613900085
14,0,2,92.68812590008746,320.62261266145237,163.8429162156444,353.7512475127093,169.59355869888904,788.0685409353955,9.192165861823035,170.30717285553257,3.6206220650674963,115.61477433456446
15,1,3,1.6625403755049084,1.4962415540319178,2.9750122843009743,1.6092474144167237,2.9062636204333936,2.585235213414422,3.215500288964289,4.25235872876823,17.45553121507665,25.295292648769067
16,1,3,1.6676826142489007,1.3682523064509904,3.8706963774417384,1.5024635960120218,4.140827870132734,3.075689309553464,3.27438001195481,2.3688455190669,13.106778259906918,7.759329910356218
17,1,3,1.4679645799073704,1.380656115548218,2.9476978395114077,1.5744877129484982,3.697767926773961,2.1963045784147557,2.410170144124995,2.157022808091352,3.1823700674419126,3.9092311068202448
18,1,0,169.5087473004438,1.6062713973110068,1.636273614713344,2.5659481660802532,698.1699087671242,3.6873900555652783,2.4498989363986237,2.3353187027531526,2.12635260914816,3.1403561574966563
19,2,1,,,,,,,,,,
20,2,1,,,,,,,,,,
21,2,2,1.3065853693302412,1.470507164499022,1.3840049046002663,4.334267235508728,2.283208810701536,2.7536437036446393,2.008718057696564,1.7167144174946178,2.5479764374156337,2.192238803071812
23,0,2,104.06783343845774,145.30725147234654,246.44717907338338,390.0779678252626,18.999429393895984,18.094009894791927,2.3491540530020876,5.879499798794599,4.58733254884682,2.906779793708196
24,0,2,120.4136451005444,103.95569597309758,241.2694548976093,239.08271693532774,3.0997738579766456,2.780664249322553,1.115638771216416,0.746096800747964,1.9949904774737146,0.8031009253213087
25,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0,3,0.0,1694.5222445787674,0.0,2199.343095757166,0.0,4504.448590900152,0.0,2492.1047236445147,0.0,597.1989097465411
27,1,0,5.501225363387264,4.073653320770853,9.326893702540305,18.674221197607793,14.17767312258871,6.020717356561018,3.722232377474755,4.297850778401996,5.8209066418464355,1.899547391918899
28,1,0,1.1136015878675503,162.80037908518457,1.5219414495097916,1.3056425669077592,2.117445786885465,759.6726366095505,1.9982576117032735,2.19643754964148,2.5440123239187233,3.148992982500168
29,1,1,,,,,,,,,,
30,1,1,,,,,,,,,,
31,2,2,1.2881904170455014,1.306310391634257,2.196925676431477,1.841038061294382,2.4895068042720974,1.9087055049097919,2.2624011807055986,2.9547125389523496,2.7032764433604473,4.158745296076349
32,2,2,1.1741653797654845,2.6648119660365026,1.6645696187155066,1.3771231683468574,2.7019247955809664,4.533001315060274,4.7433491834856785,28.846085005289133,6.540564280510574,9.607353928490594
33,2,3,1.6522408009842084,1.492667675369621,1.7683861920705533,2.660385749225077,2.4317747622911803,2.1171506094009365,2.303729156871103,2.530123992809102,3.733686979641281,2.8860718564390413
36,3,3,1.045354720949458,1.2394919719551576,1.8112944360263143,1.5731349437977276,2.7814363830044955,2.853818257914955,2.5281054578554802,1.799508060937304,2.5017519923694045,3.68591320695245
37,3,1,3.0444849214054934,1.052517697514444,5.3401096529769205,1.5578649705161656,3.2392496249995895,2.603758008586013,3.3039426139584664,3.3201208959549993,6.456471028349238,22.862785260745145
38,3,1,4.933756621136254,1.092619298027372,10.831253719286764,1.4019667266679348,6.858120593494918,2.145277421020166,3.2013137782154,2.0642922383763875,4.537809369366641,2.122934667123861
39,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,4,1,0.9691367588672392,0.9953356631361648,5.1510860521747075,1.702900483859866,2.2716047724303645,2.3959642418838842,2.0281172677115684,2.353713788353539,2.600588897706088,3.1024861339096437
41,4,3,0.9230891936898789,0.9804200655072617,1.706938698222132,1.5413214352302986,2.092688408740269,1.9515508082784638,1.666292012589072,1.7649219372448275,2.1256321763297743,2.0704066906186696
42,4,0,1.0735192261787758,1.3836384849134737,1.4983080254874421,1.7915827484905587,2.7641461941426964,4.0188762536638,1.9176315117092306,2.3837448200044435,4.8989749038669475,7.465749203441884
45,5,0,2.5610891522067676,0.9049123347256505,23.903385832626387,1.8361115592598456,2.3212534624151933,1.9395609308434285,2.620383382178767,2.0564399142898337,4.378173431541222,2.908276092015544
46,5,0,1.3951548029519458,1.292003953452934,2.007379061629081,1.6365721729911333,3.2619484991512353,3.9549592926353014,3.3068355239220315,2.073062731347577,9.666271679761063,5.614891312987136
50,3,3,2.4063084781386976,1.1556067448830556,1.7078551240820907,1.7735437685544924,4.670783575555829,2.7077247595078,3.483409605219284,2.087338537199517,9.178427689998793,3.0665259202195156
51,3,2,4.641463351121862,1.1494945171612592,10.574683995192084,1.59335666996787,7.995812580424269,2.4541162403353427,2.9198206415545322,1.689004694662403,5.37688884500563,3.6483053768704035
52,3,3,1.180574670902421,1.0545538719128587,1.7080284088226036,2.3898480237494164,3.1214702415601367,2.1155465785982366,2.9301543483511154,2.404697868288505,2.939126591191901,3.5659692760263497
53,3,2,1.2236462718139791,1.8896110142036437,2.508231806074732,3.283820378766609,2.7769072237259715,4.172346980885196,2.0191550667238194,4.100351285146902,3.3786773982840006,4.674846224315497
54,4,0,1.370041892691979,1.1539173473497455,1.5177602454453087,1.6340696749202268,4.41840175586186,2.8117240393533423,2.357311859943195,1.815262622122094,5.145542027158855,4.412935404236453
55,4,2,4.085722691888421,1.1152451578769502,15.417658540457166,1.677991111298436,9.38219604118267,2.2429842778158244,5.63053728225601,3.475104015234777,4.896925757311126,2.6635956137840604
56,4,1,1.5414526526840602,1.0759797232735044,1.754790222059664,1.770956516631379,2.9169592601871206,2.544065261617056,2.2136652543444417,2.2358508478631687,2.786797741268778,2.8871668573356843
57,4,3,3.1420312253723766,2.137605905215839,16.978974800192592,11.040460263325794,3.5781957655441614,2.459790474989071,2.8763256000824486,1.7363542250044919,3.4143338432073493,1.6140998516890273
65,3,0,4.568314193769848,3.1161722849956632,19.66577708387309,18.036300577954698,6.159586573251676,5.717957291389926,3.0960626190762968,1.790044646440873,4.492196875361733,1.7725133319855246
66,3,0,3.454853868332963,3.2782271349967957,39.43973907665031,14.292665793396562,4.125017327151342,7.640450770393319,3.2900830866217072,1.9671552141949942,5.977951283288994,2.4032783376269755
67,3,0,0.9400040232003877,2.217412674200743,1.747489929949284,10.274813259176321,2.1636205229869425,2.690122357131269,1.7262984541427149,1.76953263007342,1.719021750422681,1.7139651133325038
68,3,1,0.9949629918579507,1.0099526918184722,1.4737601403247975,1.5493052366918632,2.0588045976288676,2.2231104176802665,1.7865554583987733,2.389880798346431,2.4288813311964237,3.755358666329448
69,4,1,0.9743084925237385,0.8968862871473672,1.368331099621129,1.6509865826770949,2.5902181790403085,1.8268264041125992,2.024713105772276,1.6688372265520628,2.6854659968237664,2.2259609739590034
