Ant,Node,Snap,Full nn,Full ee,50-85 MHz nn,50-85 MHz ee,120-155 MHz nn,120-155 MHz ee,155-190 MHz nn,155-190 MHz ee,190-225 MHz nn,190-225 MHz ee
0,0,0,,,,,,,,,,
1,0,0,,,,,,,,,,
2,0,0,,,,,,,,,,
3,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0,1,,,,,,,,,,
12,0,1,,,,,,,,,,
13,0,1,,,,,,,,,,
14,0,2,,,,,,,,,,
15,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0,2,,,,,,,,,,
24,0,2,,,,,,,,,,
25,0,3,,,,,,,,,,
26,0,3,,,,,,,,,,
27,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0,3,,,,,,,,,,
40,4,1,1.0573695741812208,1.1711302165389852,1.8242210110163102,1.9170046694374245,2.4643401669318576,3.2564415103802804,2.291464425444287,2.345373584527159,2.4530715893821533,4.3873671312179345
41,4,3,0.9869584346289947,1.3614631757627123,1.821149071581345,3.3518279482087614,2.060221634531876,4.440339528985671,1.7238372396394106,2.4124039169518867,1.948942363096217,3.159766730539574
42,4,0,1.0626690536498662,1.0070051199833356,1.7797234716435748,1.9371126437589137,2.8873557770336773,3.643777211130146,2.005993163338033,2.4151895921400333,4.587775332999802,7.52806198100213
45,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,4,0,1.5685501796030448,2.546775232420073,2.027343309875403,1.9681579094753598,4.245363438630906,8.363199519369022,2.549672413015709,3.0586061956461066,5.125772793518225,9.104088631650015
55,4,2,1.1423704989120376,1.1172525924589496,1.882824018724587,2.035868086396226,2.720620129730709,2.232963053160196,2.421274923221126,2.615668070107922,2.7621813287077805,2.1507286511910784
56,4,1,0.9803595693527843,0.930020499522474,1.8674322682570947,1.6443042462841022,2.321495583560578,2.8673734186045805,2.1065900253086958,1.6436898826848068,2.2085740022212477,1.7450176943572764
57,4,3,1.4661170692932537,36.831996477524555,2.6841545981822192,135.54876723116917,3.657131504585306,120.54605958172286,2.8052221359038985,113.00145100090239,3.4229091957064526,159.97306552362534
65,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,4,1,2.753685799676701,2.1883642840503996,6.085935580002769,14.115048536574184,3.6675846129172487,4.098681487241379,3.3486173156589945,1.8845344450587447,3.9121355713068287,2.30411478107774
70,4,2,3.36526204060999,4.782470557057073,16.538277813574293,3.088044498950382,4.483678322218716,11.51723051605629,2.868964217211216,3.997654397744366,3.7067763324857257,5.321364127661483
71,4,2,2.334032389120634,2.22755489234042,16.183919494574457,2.58619919475803,3.6093925572929293,5.511778191313628,3.446145508374294,1.8848461114112236,3.697199381995542,2.8268237070241136
72,4,0,4.011607732733083,4.44845820442993,4.115990166351114,3.5615768566988915,19.174759346346665,19.052781747061523,4.43679265367143,6.044808045438496,19.531920310790515,26.586047189147937
73,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,8,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,8,0,,,,,,,,,,
86,8,0,,,,,,,,,,
87,8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,9,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,9,1,,,,,,,,,,
92,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
