Ant,Node,Snap,Full nn,Full ee,50-85 MHz nn,50-85 MHz ee,120-155 MHz nn,120-155 MHz ee,155-190 MHz nn,155-190 MHz ee,190-225 MHz nn,190-225 MHz ee
0,0,0,0.0,118.114155212284,0.0,278.96284982721875,0.0,84.3135237042342,0.0,30.455682875478104,0.0,2.879663205463037
1,0,0,140.0675570147828,143.71405046756482,268.25079003494255,348.4679736751506,3.275767925302767,4.872803456844444,1.353110213046827,3.8729686784524255,1.630096964966859,2.3004386162048562
2,0,0,127.05293598824385,167.35047600084746,243.49897889866153,392.55045297259704,2.1876331698505704,4.850475944533546,0.4203732596597295,8.38280352736791,0.3838463797770577,2.397742607989549
3,1,2,1.1078283441304002,1.2619280823511592,1.4810356859049305,1.4220384205021812,2.9110442094652176,1.9496317584265743,2.370422633746815,2.8064367060356457,3.1708625653683575,4.543146766880658
4,1,2,3.0092153439239704,1.3412455394926182,1.5379744104445752,1.6379935752396513,2.889053887997878,2.3328701875853506,1.817616475023679,1.811088875169288,1.9964990901357307,1.8944867979934015
5,1,2,0.9793086430929762,1.170770257554073,1.4894800537011315,1.4323149283926324,2.8850096332824604,2.1386963919110396,2.2365983401441922,1.9118552259453274,12.294890523668005,15.148114253224866
7,2,0,1.2565344704354837,1.252686136222618,2.1457966674662963,1.9566870923837538,2.840739546416359,3.7343473669755762,1.6783577569752666,2.349762997449337,2.2685536967111224,4.031157477068532
8,2,0,1.108780798388897,3.0225697896377914,2.313059763910299,8.916191117584178,2.4501231519825972,2.4613855191882608,2.1721759360164166,2.1494054803816467,2.232447257496169,1.7962179788908295
9,2,0,2.895833145401117,1.8987333433176103,2.0912361063115115,1.492294075282848,3.228023394739897,2.9650726612785343,8.087132545455894,2.702191349793016,11.495809873609376,3.5689075549636793
10,2,1,1.3989289065931496,1.419322241280066,1.5191504847411412,1.3950493712175613,2.849976495301389,2.3705752547184447,1.8332559717492343,2.8879548631376517,2.1944257259345807,3.942898301645779
11,0,1,117.6242499999396,787.0387822465236,250.10576371935977,691.4900138641156,2.7155211390727723,753.8338938903884,8.824201261265173,1814.581334991154,4.367607092886966,722.9588013219817
12,0,1,334.9921013013701,544.9171504748291,168.39950655800186,262.87332269631406,191.37965689052123,203.4637016996697,744.1854332594093,1645.6026965779267,12.303417695661672,55.15811008408329
13,0,1,223.41082029600375,351.9274723948714,315.96720116001416,288.2158044381247,48.650260645786425,213.47552638923818,96.89692516206914,777.1034432817356,5.928274639416488,25.07170960653251
14,0,2,133.21391302432605,355.0427246293471,216.3053449043296,304.21366718188955,68.03901218684184,249.73512876455933,70.44479542605114,604.2662260543019,9.042710817241895,58.315436762608506
15,1,3,1.75522275914682,1.68874524749868,2.210496702448167,1.416558377030982,3.5378816175366845,3.0846463201966206,3.297490291065781,4.015506100612713,36.57336407487627,35.62749181132679
16,1,3,1.4732297319152927,1.2653654329571702,2.590971810352885,1.5277597921635653,3.8018874740114876,3.525918452157542,2.483455242332974,2.6184393160864348,9.601154373316461,11.93631860693867
17,1,3,1.3505377335657265,1.463469951934298,2.023690141096481,1.761237275909936,3.2179765190275234,2.220828266215345,2.179416758638184,2.1636351337368382,2.2797410554344433,3.546664530306025
18,1,0,192.39115008821912,1.5974148741675747,28.123653958748193,2.0345630133723684,811.8476147522207,3.649345418951886,2.7592052653650456,2.3446377253559545,1.9950645922451538,3.12884049014517
19,2,1,2.0661731558659713,1.5243788058463197,2.5530275980373185,1.6268598167462385,3.1492217102548117,2.9197713947688384,1.9287136119416006,3.2692051411584213,2.2686128208310055,20.24921332640256
20,2,1,1.035525863855464,1.2781339083954641,1.3604864268291672,2.3952158023134276,2.5585162180606753,3.342732762466053,1.5778756000107756,1.8639131932984014,2.6860297256698455,3.388056236600451
21,2,2,1.2921585931177368,1.6410715225798014,1.4336802107830269,3.728645111414375,2.2590314799554476,3.205836558182127,2.1515198910413527,1.8459412541541191,3.174848372234739,2.156154367876295
23,0,2,88.5559868273844,120.34971600413147,190.45941129840404,288.1920688126811,12.982872926776931,17.7703190745448,2.3188850136667973,22.012428288101493,2.6928856607030394,3.0016811806760857
24,0,2,98.21514048007008,147.8823496609368,192.46328460193146,303.48829397957735,2.9335455209017436,4.947611210091853,1.0980207120459817,1.2036470235026235,1.7049929563965946,1.1392634563192174
25,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0,3,0.0,2577.338287202295,0.0,1654.8942054024942,0.0,8601.827447621856,0.0,4461.33697760498,0.0,1287.1717966482513
27,1,0,4.446905735002119,3.905371252853998,8.794427947763825,15.431579652403808,10.523527928030644,8.53785432864406,3.7206265933505698,2.122858528570593,4.8516084184999135,1.7565536629790839
28,1,0,1.132666421895599,171.05651635820044,1.566482922100147,33.424726311074586,2.569193958758363,766.5849458630831,1.9052102311412393,2.097269820299772,2.917114316651172,2.89947535419086
29,1,1,1.9627390936341114,1.351979519021122,4.959452878750137,1.4655855360957246,5.549815253389458,2.7357203409153104,4.4707244783711895,4.255779526072929,8.844892887059402,6.530188745599275
30,1,1,1.2007828178133746,1.2715767926172108,1.922509786988382,1.4104793720683935,3.148668053392351,2.2157533922963886,3.058061836102815,3.562696147049605,3.1867911800898145,4.392581818518099
31,2,2,1.6124022728070095,1.2099499060883474,2.0330076887716353,1.3604269506197886,2.8001643774311495,2.0059480874104025,1.8251444262174747,2.5078267267482937,1.6835826984287146,1.7265296337125304
32,2,2,2.9930260960005945,4.281479621391842,1.351192139351496,0.8369251687809433,3.946491971220899,5.797017278182895,6.822811579473488,25.048862709211125,8.340523491854912,14.556887121287724
33,2,3,1.6193270091455576,1.5550416556679663,1.6754160278029184,2.284810517175116,2.9973428544441814,2.058798135391674,2.27678130771342,2.0864005143859816,3.3499559798559924,2.419497708626338
