Ant,Node,Snap,Full nn,Full ee,50-85 MHz nn,50-85 MHz ee,120-155 MHz nn,120-155 MHz ee,155-190 MHz nn,155-190 MHz ee,190-225 MHz nn,190-225 MHz ee
0,0,0,151.9342332901083,130.59539973665085,324.39310266840255,365.32938550158394,12.397432850138138,12.092843622015678,3.666563750487678,17.081980634052748,1.2154987945396882,8.972222587974914
1,0,0,170.2481751749051,99.35628052404881,385.55715869600755,259.6993753757272,3.4258190307889693,2.4211251956716713,1.7056466413268718,1.617994383872852,1.6317176125610804,1.0189121470282254
2,0,0,127.55328486280415,155.68349402125895,316.6458291497724,424.3101503571645,3.0517964722159716,4.80801168714617,2.4816374868686015,7.490649893449862,2.0687337469658758,2.217804543166034
3,1,2,,,,,,,,,,
4,1,2,,,,,,,,,,
5,1,2,,,,,,,,,,
7,2,0,1.7019417391657077,1.4648744686068735,2.8375013977313324,2.3263957945875267,3.768507688179395,3.028086991857059,2.614281400423636,2.423660075144093,4.2204261858194645,5.3022466983502925
8,2,0,2.31948212056269,2.934463871317607,2.0538960844529397,14.035007981488778,2.9075800538616052,3.051600922855524,2.2471928379391586,2.000950101281091,3.5994813436345265,3.381725575727867
9,2,0,1.8916197759145432,1.9702737935999346,3.5729969422564665,2.6209769341881124,2.875722410071283,2.401466473799206,7.866189961914527,4.944554948366502,13.352700722913463,9.500266668188823
10,2,1,1.4641564340898963,1.770104589331193,2.1165395508540668,2.284552442205039,2.778837111551707,2.3902084250330327,2.4728962829269396,3.7822871488322827,4.69819381676507,8.313643968054825
11,0,1,321.705785388629,1079.7857938268226,347.51321157778614,1517.5945979951625,255.5113914716424,643.9142836457328,1080.0418827759177,3627.992524277154,155.864366011996,788.6964986709932
12,0,1,307.1223074917042,509.4977294316603,273.5664187521071,275.0359029346742,227.02334023066695,432.0858574457442,46.91325950020817,634.0823043353079,31.9075725809431,37.18691389425851
13,0,1,196.49104337310268,620.6700712698174,298.13508299839486,564.1786356632323,124.79087311516817,392.85913960633053,90.85131054543801,407.6869634838636,11.668492836870792,104.4262078816717
14,0,2,242.71556460065855,504.0168266317758,505.9100051773106,331.1232252333707,47.53284746240316,371.9622649850507,115.19260533526192,559.9358550840951,12.421715674730084,52.63256481713941
15,1,3,2.2038105860252966,1.7250601434552462,3.7571831781995866,1.8584091111535075,4.513043089966785,3.0414810912907764,3.4006986994521005,3.8074868551898318,9.802818071067996,9.228557510843709
16,1,3,1.807355770676293,1.5701768091867139,3.575526049289355,1.879987942745704,3.904136327933486,2.821673864369981,2.615451975660093,1.9358645637613092,6.750456890915201,4.096339142383564
17,1,3,1.8847959935901335,1.7301279500649063,2.664506844896865,2.03988045669226,4.521219355591684,2.9265250952290507,2.485045300272519,2.12233995927926,2.8259492057548634,2.5431002472657096
18,1,0,96.99896333011256,2.031846207467621,3.279198171932613,3.019772994918446,455.7820610986369,4.623121354306514,2.3789951379347203,2.8227327727647062,6.4698816255964,7.866357401148432
19,2,1,1.587040571176221,1.4132232247863101,2.6519535946123387,2.4480684559990067,3.065894202133781,3.320414280898063,2.795509898649078,3.1044508067445387,5.276513362070983,10.978760686415875
20,2,1,1.1906106669579006,1.3803232697905476,2.880972509146664,1.9935733192687988,2.6257827993756013,2.297278672569451,2.419981925408059,1.9711516843588912,3.128779477270795,3.9053497088149003
21,2,2,1.9259332184456628,1.6772656736481195,2.6520957795191085,2.077605432106186,3.052587286575988,2.582259879759714,4.298246517830039,1.828699185148896,3.5893702469675417,2.6567669657992834
23,0,2,123.83104653775887,79.72792339309828,310.7542874980664,213.09591437796323,13.444322435195907,8.456406607497145,2.9887785933779476,2.7380625582635685,3.2900823451633125,0.7885195522251403
24,0,2,136.0370368755894,127.01978370039241,256.0133714116646,315.71889701264666,2.707467573196266,13.170959613657722,0.8296149341291918,3.486255868048722,1.0130021705336276,3.186031442570694
25,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0,3,0.0,1562.3487510355426,0.0,2831.2717644152654,0.0,2221.56619837801,0.0,5168.974329548147,0.0,1758.3182279597893
