Ant,Node,Snap,Full nn,Full ee,50-85 MHz nn,50-85 MHz ee,120-155 MHz nn,120-155 MHz ee,155-190 MHz nn,155-190 MHz ee,190-225 MHz nn,190-225 MHz ee
3,1,2,0.07108469829780283,0.06976379776797437,0.035020141018501934,0.030065740059394087,0.026180174843477285,0.026430315117459555,0.03127439105179101,0.030085945234189497,0.03135032733207693,0.038601185366848326
4,1,2,0.07053782912447723,0.24604756708239733,0.031503256228764834,0.10613135237148959,0.025589459590633714,0.15017759911970638,0.03192580726564469,0.07889394104589781,0.028501927900750547,0.07710979968302531
5,1,2,0.07158600199128523,0.08117852179894354,0.03102980945024249,0.029679834017551948,0.029184470340589273,0.027001478775916334,0.030883539981725525,0.0324061227829361,0.041731459605959115,0.05325743281304558
15,1,3,0.07530526598944204,0.07143886917592096,0.037598563815966775,0.031533226192627245,0.03441791717957079,0.03315604660522395,0.047316343731466516,0.050735795486654564,0.12526041808410682,0.07740855348900816
16,1,3,0.06791969380509144,0.07512455892279517,0.03595996337281799,0.027289068270861763,0.02656368653951421,0.026466306271171663,0.026964632008203034,0.03106092923284853,0.0322052464495755,0.03249118488027195
17,1,3,0.07683615295375068,0.06486689089527463,0.03631008201188641,0.030042903372431335,0.032284396494419214,0.029463896869855087,0.03225302323456348,0.03389213597998303,0.03585287389600157,0.036188451615082835
18,1,0,0.32960200893551395,0.08789384909646375,0.14151158584586843,0.03557769312369913,1.4195073371202918,0.030507484848115225,0.030733239463556924,0.033276445685309824,0.03141256988461753,0.037628747242554064
27,1,0,0.25721860214253844,0.005618330773121408,0.1910324109471965,0.0102218131952374,0.3542150131746128,0.004574303368882208,0.10132779931849616,0.002545542704632535,0.11034448697198437,0.0019806261175338417
28,1,0,0.08328673815181108,0.38245953246388104,0.036170242880040025,0.14869501175722505,0.03379940492111672,1.697928410454143,0.0335425892747135,0.03076538583752499,0.03492444971163285,0.033349387369007284
29,1,1,0.08727970112560668,0.069082350544842,0.05329571329531778,0.03006124928060472,0.03762493217665382,0.028244651868184454,0.04144997149009833,0.0414916548528125,0.0633490896807333,0.03754492676134623
30,1,1,0.08649927571769915,0.07341896686402433,0.04931919257810374,0.021245585373229736,0.0470597644891236,0.03223264093930513,0.05471542629715505,0.04547525901359685,0.08824761174031066,0.08836578745871458
45,5,0,0.004414997936908584,0.07090404845126469,0.011025561843156203,0.031122856107975126,0.0029199094773295392,0.025521789364517575,0.002037595489095587,0.029249075796917205,0.0025380560209786562,0.02585515615127334
46,5,0,0.07247619893471756,0.07455297942094152,0.03174857602466838,0.02863892842103921,0.02684416956488493,0.026811588650354257,0.03248737624800331,0.028501361569953202,0.0321658329709244,0.028893194608308394
73,5,0,0.2809820116570449,0.0848679061897142,0.04785775088810644,0.03000195177290561,0.030626138879668845,0.02884368848496705,0.07880285083665907,0.032185719059492496,0.07658392849637145,0.04361415029576573
